Product / Offer Name,# Bottles,Product Cost,Shipping Cost,Total COGS,Gateway (3.3%),Total Cost For Us,Price Before Discounts,Price On Site,Shipping To Customer,Total Revenue,Margin $,Margin %,BE ROAS,Savings $,Savings %,Target CPA 2x ROAS,Target CPA 2.5x ROAS,Eff. $/Bottle,Origins Strategy
--- BASELINE (No Offer) ---,,,,,,,,,,,,,,,,,,,
1x 120ct Full Price (Anchor),1,$4.03,$7.70,$11.73,$2.31,$14.04,$69.95,$69.95,$0.00,$69.95,$55.91,79.93%,1.25,$0.00,0.00%,$34.98,$27.98,$69.95,Anchor price — establishes value baseline
--- BUNDLE & SAVE (Origins #1 Recommended) ---,,,,,,,,,,,,,,,,,,,
"The Starter (1x 120ct, 60 Days)",1,$4.03,$7.70,$11.73,$2.31,$14.04,$69.95,$69.95,$0.00,$69.95,$55.91,79.93%,1.25,$0.00,0.00%,$34.98,$27.98,$69.95,Tier 1 — entry point. $1.17/day. Pushes to Protocol via free shipping threshold
"The Protocol (2x 120ct, 120 Days) MOST POPULAR",2,$8.06,$10.83,$18.89,$3.96,$22.85,$139.90,$119.90,$0.00,$119.90,$97.05,80.94%,1.24,$20.00,14.30%,$59.95,$47.96,$59.95,"Tier 2 — hero offer. $1.00/day. Best balance of AOV, margin, and perceived value"
"The Transformation (3x 120ct, 180 Days) BEST VALUE",3,$12.09,$13.96,$26.05,$5.61,$31.66,$209.85,$169.95,$0.00,$169.95,$138.29,81.37%,1.23,$39.90,19.01%,$84.98,$67.98,$56.65,"Tier 3 — best value positioning. $0.94/day. Law of Large Numbers: use $ off ($40 saved) since it looks bigger than 19%"
"The Longevity Stack (6x 120ct, 360 Days)",6,$24.18,$23.35,$47.53,$9.90,$57.43,$419.70,$299.95,$0.00,$299.95,$242.52,80.85%,1.24,$119.75,28.53%,$149.98,$119.98,$49.99,"Max AOV play. $0.83/day. Law of Large Numbers: use $ off ($120 saved). Only offer if site supports large orders"
--- BUY X GET X FREE (Origins Highly Recommended) ---,,,,,,,,,,,,,,,,,,,
Buy 1 Get 1 Free (2 bottles),2,$8.06,$10.83,$18.89,$2.31,$21.20,$139.90,$69.95,$0.00,$69.95,$48.75,69.69%,1.43,$69.95,50.00%,$34.98,$27.98,$34.98,"AGGRESSIVE — 50% off perception. Lowest margin. Use for major launch event ONLY, then kill it. Per Origins: offers are addictive"
Buy 2 Get 1 Free (3 bottles),3,$12.09,$13.96,$26.05,$4.62,$30.67,$209.85,$139.90,$0.00,$139.90,$109.23,78.08%,1.28,$69.95,33.37%,$69.95,$55.96,$46.63,"SWEET SPOT for BXGX. 33% off perception, still 78% margin. Reserve for 2-3 major events/year per Origins warning"
