Status,BATCH #,Author,Ad Concept,Desire,Angle,Testing Rationale,Hooks,Ad Format,Link To Brief,Link To Ad,Results
Planned,BATCH 1,Nate,Native / Camouflage — "The Reluctant Decliner" (Sub-Avatar #8),"I want to feel like myself again — not old, not broken, just normal","A1: Your decline has a specific addressable cause — NAD+ depletion (Doctor Visit) | A2: This is real, this is raw, this is what happened (387 Days testimonial) | A3: Stop the trajectory — track it, research it, change it (Data-driven)","Broadest emotional resonance — almost everyone 40+ relates to gradual decline. Priority Tier 1 in Avatar Blueprint. Angle isolation: doctor visit reframe vs raw testimonial vs data-driven tracking. 3 creatives (B1C1 Doctor Visit, B1C2 387 Days, B1C3 Trajectory).","H1: My doctor said my cells were running on half their fuel. I thought that was just aging. | H2: I didn't expect miracles. I just wanted to feel normal again. | H3: Your cells lose significant fuel after 40. I decided to do something about it.",Static — Native/Camouflage,Ad_Batch_Plans_B1-B3.md (Batch 1),,0
Planned,BATCH 2,Nate,Native / Camouflage — "The Invisible Woman" (Sub-Avatar #7),"I want my body to function again — this isn't about looking younger","A1: This isn't about looking younger — it's about your cells actually working again (Anti-wrinkle reframe) | A2: Parental guilt hits different when your energy is gone (Exhausted Mom) | A3: The 2AM research session that changed everything (Raw discovery)","Biggest underserved market — NO NMN brand speaks to women 40-55 going through perimenopause/menopause. 85% of women report fatigue during this transition. NMN market's blind spot. 3 creatives (B2C1 Not About Wrinkles, B2C2 Exhausted Mom, B2C3 2AM Research).","H1: I didn't need another wrinkle cream. I needed my cells to work again. | H2: My kids stopped asking me to play. That was my wake-up call. | H3: At 2AM I found the answer my doctor couldn't give me.",Static — Native/Camouflage,Ad_Batch_Plans_B1-B3.md (Batch 2),,0
Planned,BATCH 3,Nate,Native / Camouflage — "The 3pm Wall Hitter" (Sub-Avatar #1),"I want consistent energy throughout the day — not spikes and crashes","A1: 5 cups of coffee and still crashing — understated real-guy story (Casual testimonial) | A2: Caffeine gives you a spike, this raises your baseline (Education-first) | A3: My energy log before and after 60 days (Data-driven journal)","Most universal daily experience — everyone 35+ knows the afternoon crash. Caffeine-vs-baseline is clearest product differentiation. Easy to visualize. 3 creatives (B3C1 5 Cups of Coffee, B3C2 Caffeine vs Baseline, B3C3 Energy Log).","H1: 5 cups of coffee. Still crashing at 3pm. Until I fixed the actual problem. | H2: Caffeine gives you a spike. This raises your baseline. | H3: My energy log before and after 60 days of NMN.",Static — Native/Camouflage,Ad_Batch_Plans_B1-B3.md (Batch 3),,0
,BATCH 4,,,,,,,,,,
,BATCH 5,,,,,,,,,,
,BATCH 6,,,,,,,,,,
,BATCH 7,,,,,,,,,,
,BATCH 8,,,,,,,,,,
,BATCH 9,,,,,,,,,,
,BATCH 10,,,,,,,,,,
,BATCH 11,,,,,,,,,,
,BATCH 12,,,,,,,,,,
,BATCH 13,,,,,,,,,,
,BATCH 14,,,,,,,,,,
,BATCH 15,,,,,,,,,,
